"portal","url","source","http_status","status_class","category","body_len","php_error","is_blank","final_url","notes"
"register","https://register.olasentra.com/about.php","root:about.php","200","ok","ok","12451","False","False","https://olasentra.com/how-it-works.php",""
"marketing","https://olasentra.com/about.php","root:about.php","200","ok","ok","12451","False","False","https://olasentra.com/how-it-works.php",""
"register","https://register.olasentra.com/account-deletion.php","root:account-deletion.php","200","ok","ok","2106","False","False","https://olasentra.com/account-deletion.php",""
"marketing","https://olasentra.com/account-deletion.php","root:account-deletion.php","200","ok","ok","2106","False","False","https://olasentra.com/account-deletion.php",""
"register","https://register.olasentra.com/check-in.php","root:check-in.php","200","ok","ok","91919","False","False","https://register.olasentra.com/check-in.php",""
"marketing","https://olasentra.com/check-in.php","root:check-in.php","200","ok","ok","91919","False","False","https://olasentra.com/check-in.php",""
"register","https://register.olasentra.com/contact.php","root:contact.php","200","ok","ok","12367","False","False","https://register.olasentra.com/contact.php",""
"marketing","https://olasentra.com/contact.php","root:contact.php","200","ok","ok","12367","False","False","https://olasentra.com/contact.php",""
"register","https://register.olasentra.com/event-sign.php","root:event-sign.php","200","ok","ok","94027","False","False","https://register.olasentra.com/event-sign.php",""
"marketing","https://olasentra.com/event-sign.php","root:event-sign.php","200","ok","ok","94027","False","False","https://olasentra.com/event-sign.php",""
"register","https://register.olasentra.com/events-page.php","root:events-page.php","200","ok","ok","12964","False","False","https://olasentra.com/events-page.php",""
"marketing","https://olasentra.com/events-page.php","root:events-page.php","200","ok","ok","12964","False","False","https://olasentra.com/events-page.php",""
"register","https://register.olasentra.com/faq.php","root:faq.php","200","ok","ok","14940","False","False","https://olasentra.com/faq.php",""
"marketing","https://olasentra.com/faq.php","root:faq.php","200","ok","ok","14940","False","False","https://olasentra.com/faq.php",""
"register","https://register.olasentra.com/home.php","root:home.php","200","ok","ok","43417","False","False","https://olasentra.com/home.php",""
"marketing","https://olasentra.com/home.php","root:home.php","200","ok","ok","43417","False","False","https://olasentra.com/home.php",""
"register","https://register.olasentra.com/how-it-works.php","root:how-it-works.php","200","ok","ok","12451","False","False","https://olasentra.com/how-it-works.php",""
"marketing","https://olasentra.com/how-it-works.php","root:how-it-works.php","200","ok","ok","12451","False","False","https://olasentra.com/how-it-works.php",""
"register","https://register.olasentra.com/index.php","root:index.php","200","ok","ok","101666","False","False","https://register.olasentra.com/index.php",""
"marketing","https://olasentra.com/index.php","root:index.php","200","ok","ok","101657","False","False","https://register.olasentra.com/",""
"register","https://register.olasentra.com/manifest.php","root:manifest.php","200","ok","ok","6455","False","False","https://register.olasentra.com/manifest.php",""
"marketing","https://olasentra.com/manifest.php","root:manifest.php","200","ok","ok","6455","False","False","https://olasentra.com/manifest.php",""
"register","https://register.olasentra.com/offline.php","root:offline.php","200","ok","ok","1620","False","False","https://register.olasentra.com/offline.php",""
"marketing","https://olasentra.com/offline.php","root:offline.php","200","ok","ok","1620","False","False","https://olasentra.com/offline.php",""
"register","https://register.olasentra.com/og-image.php","root:og-image.php","200","ok","ok","412222","False","False","https://register.olasentra.com/og-image.php",""
"marketing","https://olasentra.com/og-image.php","root:og-image.php","200","ok","ok","412222","False","False","https://olasentra.com/og-image.php",""
"register","https://register.olasentra.com/privacy.php","root:privacy.php","200","ok","ok","2958","False","False","https://olasentra.com/privacy.php",""
"marketing","https://olasentra.com/privacy.php","root:privacy.php","200","ok","ok","2958","False","False","https://olasentra.com/privacy.php",""
"register","https://register.olasentra.com/roles.php","root:roles.php","200","ok","ok","12968","False","False","https://register.olasentra.com/roles.php",""
"marketing","https://olasentra.com/roles.php","root:roles.php","200","ok","ok","12968","False","False","https://olasentra.com/roles.php",""
"register","https://register.olasentra.com/services.php","root:services.php","200","ok","ok","12968","False","False","https://register.olasentra.com/roles.php",""
"marketing","https://olasentra.com/services.php","root:services.php","200","ok","ok","12968","False","False","https://olasentra.com/roles.php",""
"register","https://register.olasentra.com/sign-in.php","root:sign-in.php","200","ok","ok","92178","False","False","https://register.olasentra.com/sign-in.php",""
"marketing","https://olasentra.com/sign-in.php","root:sign-in.php","200","ok","ok","92178","False","False","https://olasentra.com/sign-in.php",""
"register","https://register.olasentra.com/staff-app-download.php","root:staff-app-download.php","200","ok","ok","2669","False","False","https://register.olasentra.com/staff-app-download.php",""
"marketing","https://olasentra.com/staff-app-download.php","root:staff-app-download.php","200","ok","ok","2669","False","False","https://olasentra.com/staff-app-download.php",""
"register","https://register.olasentra.com/staff-app.php","root:staff-app.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-app.php","root:staff-app.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-availability.php","root:staff-availability.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
"marketing","https://olasentra.com/staff-availability.php","root:staff-availability.php","200","ok","auth_redirect","11380","False","False","https://olasentra.com/staff-app.php","Redirects to login (expected without session)"
"register","https://register.olasentra.com/staff-certificates.php","root:staff-certificates.php","200","ok","auth_redirect","11380","False","False","https://register.olasentra.com/staff-app.php","Redirects to login (expected without session)"
