"name","url","portal","status","http_code","final_url","body_len","null_bytes","php_error","is_blank","auth_gate","local_bytes","notes","screenshot","permission"
"Dashboard / Home","https://register.olasentra.com/staff-app.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","2619","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Shifts","https://register.olasentra.com/staff-shifts.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","374","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Check-In","https://register.olasentra.com/staff-checkin.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","1578","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Availability","https://register.olasentra.com/staff-availability.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Leave Requests","https://register.olasentra.com/staff-leave.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Messages","https://register.olasentra.com/staff-messages.php","staff","WARNING","200","https://register.olasentra.com/staff-messages.php","5588","674","False","False","True","8299","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Notifications","https://register.olasentra.com/staff-notifications.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","1742","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Documents","https://register.olasentra.com/staff-documents.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Certificates","https://register.olasentra.com/staff-certificates.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Profile","https://register.olasentra.com/staff-profile-hub.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","380","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Settings","https://register.olasentra.com/staff-settings.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Change Password","https://register.olasentra.com/staff-change-password.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Support","https://register.olasentra.com/staff-support.php","staff","FAIL","0","","0","0","False","False","False",,"The remote server returned an error: (404) Not Found.","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Profile legacy","https://register.olasentra.com/staff-profile.php","staff","WARNING","200","https://register.olasentra.com/staff-app.php","9013","674","False","False","True","23677","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Google sign-in","https://register.olasentra.com/staff-google-signin.php","staff","WARNING","200","https://accounts.google.com/v3/signin/identifier?opparams=%253F&dsh=S-1055750230:1781789118995651&access_type=online&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com&o2v=2&prompt=select_account&redirect_uri=https://register.olasentra.com/staff-google-oauth-callback.php&response_type=code&scope=openid+email+profile&service=lso&state=169ace409173cc0cacac5d262b84ac67&flowName=GeneralOAuthLite&continue=https://accounts.google.com/signin/oauth/legacy/consent?authuser=unknown&part=AJi8hAPQExcKUu3ovt_TlTaTYVpplafWQPPT0QNwM-o-yf0JmNlh8IXr_y4NjSkIUmVWIbWu11oPiP63Tzof-5WqY8pMNmUbJdPM_aJBBtxodri3YOiTnVUZ0K_xIMKj6_YA3LRRQiz-7lNQ9_aMtPHVeJpDPc-G1pgXhl8N-PzVfOoNtcTN66Smu-dsVP3KwIErqOQ6TLb0dt7l00RZ6SVK-WzUgk9NyxTTSegppeLphb97uraXu0OepcVZ1loY-5slp2YhTA4tIfqxF69WgeXCvRpg9PSzDBHIRQyFN6bkwbEfvcGkm2fWW7Y3duj_YuNrhxuz-wc41ZzmwyuFh7UmEbCVLupvc0kmJE4nzWU8fYTq35FkRcSVrKRZZ7khC5qr0QoGw1UOTiD2kJufVemsEKbP29URKwZYv7YjcaK1_Ne4cOiJKiOhScu71Bhcek2DS6pjnArfP8EKVkD3AzmCS8A4wJ-MYEaudc9DUmJBrBy3Ad8Dw_c&flowName=GeneralOAuthFlow&as=S-1055750230%253A1781789118995651&client_id=603350887421-98r4icv22rcc8slfghulqri4tq55bqj9.apps.googleusercontent.com%23&app_domain=https://register.olasentra.com&rart=ANgoxccVqModQ-fz9BOTtagluesml7FB_Ryv6y4PM1qmAp6OUBAVOkxQ3M_6qS8ErBWFirO8g2XdOhDC0k3GcQLoBi_-ahDpJ9oQb8YUQZi8VA6TQWu0npI","943082","0","False","False","True","415","Auth gate OK unauthenticated; authenticated UI not verified","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
