"name","url","portal","status","http_code","final_url","body_len","null_bytes","php_error","is_blank","auth_gate","local_bytes","notes","screenshot","permission"
"Dashboard","https://admin.olasentra.com/admin/dashboard.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","134778","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Queue","https://admin.olasentra.com/admin/staff.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","16039","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Allocation centre","https://admin.olasentra.com/admin/allocation-centre.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","18599","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Directory","https://admin.olasentra.com/admin/staff-directory.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","13118","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Blacklist","https://admin.olasentra.com/admin/blacklist.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","4435","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Events","https://admin.olasentra.com/admin/events.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","24736","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Venues","https://admin.olasentra.com/admin/venues.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","4534","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Work types","https://admin.olasentra.com/admin/work-types.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","4264","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Attendance","https://admin.olasentra.com/admin/attendance.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","12203","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Work hours","https://admin.olasentra.com/admin/work-hours.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","10584","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Manual sign-in","https://admin.olasentra.com/admin/manual-signin.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","11048","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Messages","https://admin.olasentra.com/admin/staff-inbox.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","13265","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Communication Hub","https://admin.olasentra.com/admin/communication-hub.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","17082","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Notifications","https://admin.olasentra.com/admin/notifications.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","3933","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
"Performance","https://admin.olasentra.com/admin/workforce-performance.php","admin","WARNING","200","https://admin.olasentra.com/admin/login.php","4823","674","False","False","True","5029","Null-byte prefix (674 chars) - file corruption risk","BLOCKED - no session cookie","UNVERIFIED - requires authenticated session"
