"method","path","code","json","status","notes"
"GET","config","200","True","PASS","Unexpected 200"
"POST","auth/otp/send","422","False","PASS","The remote server returned an error: (422) Unprocessable Entity."
"POST","auth/otp/verify","422","False","PASS","The remote server returned an error: (422) Unprocessable Entity."
"POST","auth/google","422","False","PASS","The remote server returned an error: (422) Unprocessable Entity."
"POST","auth/refresh","401","False","PASS","Auth required (route exists)"
"POST","auth/logout","200","True","WARNING","Unexpected 200"
"GET","me","401","False","PASS","Auth required (route exists)"
"PATCH","me","401","False","PASS","PATCH probe"
"GET","dashboard","401","False","PASS","Auth required (route exists)"
"GET","shifts","401","False","PASS","Auth required (route exists)"
"GET","shifts/today","401","False","PASS","Auth required (route exists)"
"POST","checkin","401","False","PASS","Auth required (route exists)"
"POST","checkout","401","False","PASS","Auth required (route exists)"
"POST","gps/ping","401","False","PASS","Auth required (route exists)"
"GET","gps/status","401","False","PASS","Auth required (route exists)"
"GET","notifications","401","False","PASS","Auth required (route exists)"
"POST","notifications/read-all","401","False","PASS","Auth required (route exists)"
"GET","messages","401","False","PASS","Auth required (route exists)"
"POST","messages","401","False","PASS","Auth required (route exists)"
"POST","push/register","401","False","PASS","Auth required (route exists)"
"GET","documents","401","False","PASS","Auth required (route exists)"
"GET","availability","401","False","PASS","Auth required (route exists)"
"POST","leave","401","False","PASS","Auth required (route exists)"
"POST","sync/offline","401","False","PASS","Auth required (route exists)"
"GET","events","401","False","PASS","Auth required (route exists)"
"POST","events/register","401","False","PASS","Auth required (route exists)"
"POST","me/password","401","False","PASS","Auth required (route exists)"
